N_CLIENT,N_POLICE,N_SINISTRE,DATE_ACCIDENT,AGENCE,REGLEMENTS,SAP,TRANSACTION
1001918,1401914776,758001396,2025-08-13,Ghardimaou,53.79169629331932,0.0,N
1699210,1401981096,758001397,2025-08-15,Jendouba,83.46987355859895,0.0,N
1213094,1401112074,758001400,2025-08-12,Mahdia,537.6405849074102,0.0,N
1533346,1400619158,758001410,2025-08-14,Bizerte,77.90521532135902,0.0,N
1812168,1414191992,758001418,2025-08-15,Ain Zaghouan,111.2931647447986,0.0,N
1327474,1401527474,758001425,2025-08-14,Lac II,91.81686091445884,0.0,N
1353726,1401141558,758001426,2025-08-15,Mahdia,92.08365536216651,0.0,N
1379330,1414113814,758001430,2025-08-11,Mahdia,540.0896528271555,0.0,N
1712060,1414157340,758001432,2025-08-14,Djerba 2,52.68371100874888,0.0,N
1671512,1401929528,758001445,2025-08-14,Jendouba,110.62571490400966,0.0,N
1337480,1401336174,758001448,2025-08-15,Sfax 2,80.82635174823014,0.0,N
1154612,1401219672,758001457,2025-08-15,Medjez El Bab,139.11645593099826,0.0,N
1520148,1414157752,758001458,2025-08-16,Sousse 3,268.18035675642255,0.0,T
1549558,1401710938,758001460,2025-08-03,Ennasr,1946.9675704083843,0.0,N
1367730,1414186938,758001480,2025-08-16,Sousse 3,83.2469780814295,0.0,N
1789180,1414153370,758001499,2025-08-15,Nabeul 2,2749.9205490462796,0.0,N
1806150,1414195398,758001508,2025-08-16,Grombalia,7976.0101400439,0.0,N
1746150,1414007760,758001517,2025-08-14,M'saken,83.46987355859895,0.0,N
769552,1400932096,758001523,2025-08-15,Lac II,732.5399573376202,0.0,N
1092912,1401873336,758001524,2025-08-15,Ghardimaou,40.18919838006616,0.0,N
1798114,1414168734,758001525,2025-08-16,Sousse 2,207.18582867035585,0.0,N
1772012,1414120108,758001531,2025-08-16,Gabès 1,315.330633443596,0.0,N
813518,1401359812,758001534,2025-08-16,Ain Zaghouan,70.89343679475687,0.0,N
1019814,1401355312,758001545,2025-08-13,Gabès 1,108.20168794633197,0.0,N
1216092,1401676878,758001548,2025-08-16,Ain Zaghouan,60.96083098896343,0.0,N
1555346,1414133954,758001549,2025-08-16,Gabès 1,97.65573314372276,0.0,N
1335930,1401195326,758001553,2025-08-17,Ariana,25.928215908739606,0.0,N
1269388,1414181468,758001559,2025-08-13,Grombalia,139.11645593099826,0.0,N
1553526,1401721550,758001560,2025-08-16,Chebba,104.40968250533281,0.0,N
1335348,1401180130,758001563,2025-08-16,Ezzahrouni,89.83800661576035,0.0,N
921294,1414191566,758001573,2025-08-17,Béja,111.2931647447986,0.0,N
879550,1401472956,758001590,2025-08-16,Boussalem,79.46331962778619,0.0,N
1753392,1401934672,758001591,2025-08-14,El Jem,352.99193124555603,0.0,N
1731750,1414132014,758001597,2025-08-16,Sousse 3,195.05487371317278,0.0,N
1320970,1401155354,758001616,2025-08-13,Ain Zaghouan,52.00853247596377,0.0,N
977338,1401133554,758001617,2025-08-17,Lac II,11.268432930410858,0.0,N
1337520,1401537520,758001641,2025-08-16,Ariana,95.72572417844005,0.0,N
1532994,1401997356,758001661,2025-08-15,Kairouan 1,83.46987355859895,0.0,N
1154986,1414166972,758001662,2025-08-16,Béja II,166.9397471171979,0.0,N
1740950,1414061418,758001664,2025-08-16,Grombalia,278.2329118619965,0.0,N
1741606,1414140952,758001676,2025-08-17,Lafayette,216.35174823012954,0.0,N
1741606,1414140952,758001676,2025-08-17,Lafayette,263.4204099298235,0.0,N
875298,1414099588,758001683,2025-08-10,Jendouba,60.28379757009924,0.0,N
1494794,1401611466,758001691,2025-08-10,Lac II,55.6465823723993,0.0,N
1747986,1414075532,758001696,2025-08-13,Enfidha,85.01561195783226,0.0,N
1777572,1414131530,758001699,2025-08-16,El Mechtel,661.5729433950598,0.0,N
1336094,1401333714,758001700,2025-08-16,Djerba 2,105.72850650755866,0.0,N
1807136,1414193556,758001703,2025-08-16,Gabès 1,218.05020558320712,0.0,N
1315334,1401271272,758001709,2025-08-06,La Goulette,854.0179923949671,0.0,N
1734154,1401872614,758001714,2025-08-17,Grombalia,55.6465823723993,0.0,N
1493972,1401161368,758001717,2025-08-17,Bizerte,23.610844900609024,0.0,N
1599934,1401797352,758001718,2025-08-16,Sfax 4,62.91155284879587,0.0,T
1811172,1414190012,758001722,2025-08-18,Ain Zaghouan,25.596809595943984,0.0,N
1299334,1401499334,758001727,2025-08-17,La Marsa,0.0,463.72151976999413,N
757212,1401313294,758001738,2025-08-17,Ennasr,90.75957584938325,0.0,N
1195350,1401927596,758001742,2025-08-18,Ennasr,49.04287878319474,0.0,N
1167606,1401759874,758001743,2025-08-18,Bizerte,240.1112931647448,0.0,N
1771546,1414117586,758001762,2025-08-15,Ariana,61.211240609639226,0.0,N
